Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Transfer_fee
Joe Allen,Central Midfield,22,Swansea,Premier League,Liverpool,Premier League,2012-2013,19000000
Kwadwo Asamoah,Left-Back,23,Udinese Calcio,Serie A,Juventus,Serie A,2012-2013,18000000
Shinji Kagawa,Attacking Midfield,23,Bor. Dortmund,1.Bundesliga,Man Utd,Premier League,2012-2013,16000000
Gastón Ramírez,Attacking Midfield,21,Bologna,Serie A,Southampton,Premier League,2012-2013,15200000
Steven Fletcher,Centre-Forward,25,Wolves,Championship,Sunderland,Premier League,2012-2013,15200000
Matija Nastasic,Centre-Back,19,Fiorentina,Serie A,Man City,Premier League,2012-2013,15200000
Lukas Podolski,Centre-Forward,27,1. FC Köln,2.Bundesliga,Arsenal,Premier League,2012-2013,15000000
Daniel Sturridge,Centre-Forward,23,Chelsea,Premier League,Liverpool,Premier League,2012-2013,15000000
Christopher Samba,Centre-Back,28,Anzhi,Premier Liga,QPR,Premier League,2012-2013,15000000
Jack Rodwell,Defensive Midfield,21,Everton,Premier League,Man City,Premier League,2012-2013,15000000
Samir Handanovic,Goalkeeper,28,Udinese Calcio,Serie A,Inter,Serie A,2012-2013,15000000
Jordi Alba,Left-Back,23,Valencia CF,LaLiga,FC Barcelona,LaLiga,2012-2013,14000000
Carlos Vela,Right Winger,23,Arsenal,Premier League,Real Sociedad,LaLiga,2012-2013,14000000
Mauricio Isla,Right-Back,24,Udinese Calcio,Serie A,Juventus,Serie A,2012-2013,13900000
Fabio Borini,Left Winger,21,AS Roma,Serie A,Liverpool,Premier League,2012-2013,13300000
Philippe Coutinho,Attacking Midfield,20,Inter,Serie A,Liverpool,Premier League,2012-2013,13000000
Hugo Lloris,Goalkeeper,25,Olympique Lyon,Ligue 1,Spurs,Premier League,2012-2013,12600000
Adam Johnson,Right Winger,25,Man City,Premier League,Sunderland,Premier League,2012-2013,12600000
Jan Vertonghen,Centre-Back,25,AFC Ajax,Eredivisie,Spurs,Premier League,2012-2013,12500000
Giampaolo Pazzini,Centre-Forward,28,Inter,Serie A,AC Milan,Serie A,2012-2013,12500000
Olivier Giroud,Centre-Forward,25,Montpellier,Ligue 1,Arsenal,Premier League,2012-2013,12000000
Marco Verratti,Central Midfield,19,Pescara,Serie A,Paris SG,Ligue 1,2012-2013,12000000
Paulo Dybala,Second Striker,18,Instituto,Primera B Nacional,US Palermo,Serie A,2012-2013,11900000
Wilfried Zaha,Right Winger,20,Crystal Palace,Championship,Man Utd,Premier League,2012-2013,11750000
Victor Moses,Right Midfield,21,Wigan,Premier League,Chelsea,Premier League,2012-2013,11500000
Sebastian Giovinco,Second Striker,25,Parma,Serie A,Juventus,Serie A,2012-2013,11000000
Fredy Guarín,Central Midfield,26,FC Porto,Liga NOS,Inter,Serie A,2012-2013,11000000
Manolo Gabbiadini,Centre-Forward,20,Atalanta,Serie A,Juventus,Serie A,2012-2013,11000000
Mateo Kovacic,Central Midfield,18,Dinamo Zagreb,1.HNL,Inter,Serie A,2012-2013,11000000
Loïc Rémy,Centre-Forward,26,Marseille,Ligue 1,QPR,Premier League,2012-2013,10500000
Rodrigo Palacio,Centre-Forward,30,Genoa,Serie A,Inter,Serie A,2012-2013,10500000
Álvaro Pereira,Left-Back,26,FC Porto,Liga NOS,Inter,Serie A,2012-2013,10000000
Giuseppe Rossi,Centre-Forward,25,Villarreal CF,LaLiga2,Fiorentina,Serie A,2012-2013,10000000
Marvin Martin,Attacking Midfield,24,FC Sochaux,Ligue 1,LOSC Lille,Ligue 1,2012-2013,10000000
Gylfi Sigurdsson,Attacking Midfield,22,TSG Hoffenheim,1.Bundesliga,Spurs,Premier League,2012-2013,10000000
Nacho Monreal,Left-Back,26,Málaga CF,LaLiga,Arsenal,Premier League,2012-2013,10000000
Matt Jarvis,Left Winger,26,Wolves,Championship,West Ham,Premier League,2012-2013,9500000
César Azpilicueta,Right-Back,23,Marseille,Ligue 1,Chelsea,Premier League,2012-2013,8800000
Christian Benteke,Centre-Forward,21,KRC Genk,Jupiler Pro League,Aston Villa,Premier League,2012-2013,8800000
Jay Rodríguez,Centre-Forward,22,Burnley,Championship,Southampton,Premier League,2012-2013,8650000
Demba Ba,Centre-Forward,27,Newcastle,Premier League,Chelsea,Premier League,2012-2013,8500000
Vurnon Anita,Defensive Midfield,23,AFC Ajax,Eredivisie,Newcastle,Premier League,2012-2013,8500000
Marko Marin,Left Winger,23,Werder Bremen,1.Bundesliga,Chelsea,Premier League,2012-2013,8000000
Martín Cáceres,Right-Back,25,Sevilla FC,LaLiga,Juventus,Serie A,2012-2013,8000000
Mapou Yanga-Mbiwa,Centre-Back,23,Montpellier,Ligue 1,Newcastle,Premier League,2012-2013,8000000
Valon Behrami,Defensive Midfield,27,Fiorentina,Serie A,SSC Napoli,Serie A,2012-2013,8000000
Esteban Granero,Central Midfield,25,Real Madrid,LaLiga,QPR,Premier League,2012-2013,8000000
Kévin Constant,Defensive Midfield,25,Genoa,Serie A,AC Milan,Serie A,2012-2013,8000000
Davide Faraoni,Right Midfield,20,Inter,Serie A,Udinese Calcio,Serie A,2012-2013,8000000
Scott Sinclair,Left Midfield,23,Swansea,Premier League,Man City,Premier League,2012-2013,7800000
Kevin Mirallas,Right Winger,24,Olympiacos,Super League,Everton,Premier League,2012-2013,7650000
Clint Dempsey,Second Striker,29,Fulham,Premier League,Spurs,Premier League,2012-2013,7500000
Goran Pandev,Second Striker,28,Inter,Serie A,SSC Napoli,Serie A,2012-2013,7500000
Sergio Canales,Attacking Midfield,21,Real Madrid,LaLiga,Valencia CF,LaLiga,2012-2013,7500000
Nick Powell,Attacking Midfield,18,Crewe Alexandra,League One,Man Utd,Premier League,2012-2013,7500000
Borja Valero,Central Midfield,27,Villarreal CF,LaLiga2,Fiorentina,Serie A,2012-2013,7000000
Mattia Destro,Centre-Forward,21,Siena,Serie A,Genoa,Serie A,2012-2013,7000000
Pablo Hernández,Right Winger,27,Valencia CF,LaLiga,Swansea,Premier League,2012-2013,7000000
Sung-yong Ki,Defensive Midfield,23,Celtic,Premiership,Swansea,Premier League,2012-2013,7000000
Alessio Cerci,Right Winger,25,Fiorentina,Serie A,Torino,Serie A,2012-2013,6750000
Alberto Paloschi,Centre-Forward,23,AC Milan,Serie A,Chievo Verona,Serie A,2012-2013,6500000
Emmanuel Adebayor,Centre-Forward,28,Man City,Premier League,Spurs,Premier League,2012-2013,6400000
Mathieu Debuchy,Right-Back,27,LOSC Lille,Ligue 1,Newcastle,Premier League,2012-2013,6200000
Charlie Adam,Central Midfield,26,Liverpool,Premier League,Stoke City,Premier League,2012-2013,6200000
Gregory van der Wiel,Right-Back,24,AFC Ajax,Eredivisie,Paris SG,Ligue 1,2012-2013,6000000
Stéphane Mbia,Defensive Midfield,26,Marseille,Ligue 1,QPR,Premier League,2012-2013,6000000
Aly Cissokho,Left-Back,24,Olympique Lyon,Ligue 1,Valencia CF,LaLiga,2012-2013,6000000
Iván Ramis,Centre-Back,27,RCD Mallorca,LaLiga,Wigan,Premier League,2012-2013,6000000
Modibo Maïga,Centre-Forward,24,FC Sochaux,Ligue 1,West Ham,Premier League,2012-2013,6000000
Danny Graham,Centre-Forward,27,Swansea,Premier League,Sunderland,Premier League,2012-2013,5800000
Steven Pienaar,Left Winger,30,Spurs,Premier League,Everton,Premier League,2012-2013,5750000
Marquinhos,Centre-Back,18,Corinthians,Série A,AS Roma,Serie A,2012-2013,5700000
Ángelo Henríquez,Centre-Forward,18,U. de Chile,Primera División,Man Utd,Premier League,2012-2013,5500000
Wallace Oliveira,Right-Back,18,Fluminense,Série A,Chelsea,Premier League,2012-2013,5400000
Ezequiel Schelotto,Right-Back,23,Atalanta,Serie A,Inter,Serie A,2012-2013,5300000
Maicosuel,Left Winger,26,Botafogo,Série A,Udinese Calcio,Serie A,2012-2013,5300000
Marko Livaja,Centre-Forward,19,Inter,Serie A,Atalanta,Serie A,2012-2013,5050000
Dimitar Berbatov,Centre-Forward,31,Man Utd,Premier League,Fulham,Premier League,2012-2013,5000000
Antonio Cassano,Second Striker,30,AC Milan,Serie A,Inter,Serie A,2012-2013,5000000
Youssef El Arabi,Centre-Forward,25,Hilal,Professional League,Granada CF,LaLiga,2012-2013,5000000
Germán Denis,Centre-Forward,30,Udinese Calcio,Serie A,Atalanta,Serie A,2012-2013,5000000
Alain Traoré,Attacking Midfield,23,AJ Auxerre,Ligue 2,FC Lorient,Ligue 1,2012-2013,5000000
Ben Foster,Goalkeeper,29,Birmingham,Championship,West Brom,Premier League,2012-2013,5000000
Daniel Congré,Centre-Back,27,Toulouse,Ligue 1,Montpellier,Ligue 1,2012-2013,5000000
Alexander Büttner,Left-Back,23,Vitesse,Eredivisie,Man Utd,Premier League,2012-2013,5000000
Leandro Castán,Centre-Back,25,Corinthians,Série A,AS Roma,Serie A,2012-2013,5000000
Alfred N'Diaye,Defensive Midfield,22,Bursaspor,Süper Lig,Sunderland,Premier League,2012-2013,4700000
Federico Balzaretti,Left-Back,30,US Palermo,Serie A,AS Roma,Serie A,2012-2013,4500000
Jonathan Biabiany,Right Winger,24,Sampdoria,Serie A,Parma,Serie A,2012-2013,4500000
Bryan Oviedo,Left-Back,22,FC Copenhagen,Superligaen,Everton,Premier League,2012-2013,4500000
Steven Nzonzi,Defensive Midfield,23,Blackburn,Championship,Stoke City,Premier League,2012-2013,4400000
Nenad Tomovic,Centre-Back,25,Genoa,Serie A,Fiorentina,Serie A,2012-2013,4200000
Oussama Assaidi,Left Winger,24,Heerenveen,Eredivisie,Liverpool,Premier League,2012-2013,4000000
Ciro Immobile,Centre-Forward,22,Juventus,Serie A,Genoa,Serie A,2012-2013,4000000
Emmanuel Mayuka,Centre-Forward,21,BSC Young Boys,Super League,Southampton,Premier League,2012-2013,4000000
Richmond Boakye,Centre-Forward,19,Genoa,Serie A,Juventus,Serie A,2012-2013,4000000
Benjamin Corgnet,Attacking Midfield,25,Dijon,Ligue 2,FC Lorient,Ligue 1,2012-2013,4000000
Samba Diakité,Defensive Midfield,23,AS Nancy,Ligue 1,QPR,Premier League,2012-2013,4000000
Romain Hamouma,Right Winger,25,SM Caen,Ligue 2,Saint-Étienne,Ligue 1,2012-2013,4000000
Francesco Acerbi,Centre-Back,24,Chievo Verona,Serie A,AC Milan,Serie A,2012-2013,4000000
Francesco Acerbi,Centre-Back,24,AC Milan,Serie A,Genoa,Serie A,2012-2013,4000000
Geoffrey Kondogbia,Central Midfield,19,Lens,Ligue 2,Sevilla FC,LaLiga,2012-2013,4000000
Dorlan Pabón,Second Striker,24,Atl. Nacional,Liga Águila II,Parma,Serie A,2012-2013,4000000
Sadio Diallo,Attacking Midfield,21,SC Bastia,Ligue 1,Stade Rennais,Ligue 1,2012-2013,4000000
Gabriel Silva,Left-Back,21,Granada CF,LaLiga,Udinese Calcio,Serie A,2012-2013,4000000
Sadio Mané,Left Winger,20,FC Metz,Championnat National,RB Salzburg,Bundesliga,2012-2013,4000000
Arouna Koné,Centre-Forward,28,Levante UD,LaLiga,Wigan,Premier League,2012-2013,3800000
Ron Vlaar,Centre-Back,27,Feyenoord,Eredivisie,Aston Villa,Premier League,2012-2013,3800000
Nicola Leali,Goalkeeper,19,Brescia,Serie B,Juventus,Serie A,2012-2013,3800000
Adrian Mariappa,Centre-Back,25,Watford,Championship,Reading,Premier League,2012-2013,3800000
Jack Butland,Goalkeeper,19,Birmingham,Championship,Stoke City,Premier League,2012-2013,3800000
Alexis Rolín,Centre-Back,23,Nacional,Primera División,Catania,Serie A,2012-2013,3800000
Maicon,Right-Back,31,Inter,Serie A,Man City,Premier League,2012-2013,3750000
Junior Hoilett,Left Winger,22,Blackburn,Championship,QPR,Premier League,2012-2013,3750000
Michael Bradley,Central Midfield,24,Chievo Verona,Serie A,AS Roma,Serie A,2012-2013,3750000
Matthew Lowton,Right-Back,23,Sheffield Utd.,League One,Aston Villa,Premier League,2012-2013,3750000
João Pereira,Right-Back,28,Sporting CP,Liga NOS,Valencia CF,LaLiga,2012-2013,3700000
Ante Vukusic,Centre-Forward,21,Hajduk Split,1.HNL,Pescara,Serie A,2012-2013,3700000
Jonathas,Centre-Forward,23,Brescia,Serie B,Pescara,Serie A,2012-2013,3700000
Luís Neto,Centre-Back,24,Nacional,Liga NOS,Siena,Serie A,2012-2013,3650000
Andrea Rossi,Left-Back,25,Siena,Serie A,Parma,Serie A,2012-2013,3600000
Barreto,Second Striker,27,Udinese Calcio,Serie A,Torino,Serie A,2012-2013,3550000
Nigel de Jong,Defensive Midfield,27,Man City,Premier League,AC Milan,Serie A,2012-2013,3500000
Emiliano Insúa,Left-Back,24,Sporting CP,Liga NOS,Atlético Madrid,LaLiga,2012-2013,3500000
Diego López,Goalkeeper,30,Villarreal CF,LaLiga2,Sevilla FC,LaLiga,2012-2013,3500000
Fernando Gago,Defensive Midfield,26,Real Madrid,LaLiga,Valencia CF,LaLiga,2012-2013,3500000
Anthony Mounier,Left Winger,24,OGC Nice,Ligue 1,Montpellier,Ligue 1,2012-2013,3500000
Mattia Cassani,Right-Back,28,US Palermo,Serie A,Fiorentina,Serie A,2012-2013,3500000
Marquinho,Left Midfield,26,Fluminense,Série A,AS Roma,Serie A,2012-2013,3500000
Éder,Second Striker,25,RC Cesena,Serie B,Sampdoria,Serie A,2012-2013,3500000
Gareth Bale,Right Winger,24,Spurs,Premier League,Real Madrid,LaLiga,2013-2014,101000000
Neymar,Left Winger,21,Santos FC,Série A,FC Barcelona,LaLiga,2013-2014,88200000
Edinson Cavani,Centre-Forward,26,SSC Napoli,Serie A,Paris SG,Ligue 1,2013-2014,64500000
Mesut Özil,Attacking Midfield,24,Real Madrid,LaLiga,Arsenal,Premier League,2013-2014,47000000
James Rodríguez,Attacking Midfield,21,FC Porto,Liga NOS,Monaco,Ligue 1,2013-2014,45000000
Juan Mata,Attacking Midfield,25,Chelsea,Premier League,Man Utd,Premier League,2013-2014,44730000
Falcao,Centre-Forward,27,Atlético Madrid,LaLiga,Monaco,Ligue 1,2013-2014,43000000
Fernandinho,Defensive Midfield,28,Shakhtar D.,Premier Liga,Man City,Premier League,2013-2014,40000000
Gonzalo Higuaín,Centre-Forward,25,Real Madrid,LaLiga,SSC Napoli,Serie A,2013-2014,39000000
Willian,Right Winger,25,Anzhi,Premier Liga,Chelsea,Premier League,2013-2014,35500000
Marouane Fellaini,Central Midfield,25,Everton,Premier League,Man Utd,Premier League,2013-2014,32400000
Asier Illarramendi,Defensive Midfield,23,Real Sociedad,LaLiga,Real Madrid,LaLiga,2013-2014,32000000
Marquinhos,Centre-Back,19,AS Roma,Serie A,Paris SG,Ligue 1,2013-2014,31400000
Roberto Soldado,Centre-Forward,28,Valencia CF,LaLiga,Spurs,Premier League,2013-2014,30000000
Isco,Attacking Midfield,21,Málaga CF,LaLiga,Real Madrid,LaLiga,2013-2014,30000000
Érik Lamela,Right Winger,21,AS Roma,Serie A,Spurs,Premier League,2013-2014,30000000
Stevan Jovetic,Centre-Forward,23,Fiorentina,Serie A,Man City,Premier League,2013-2014,26000000
João Moutinho,Central Midfield,26,FC Porto,Liga NOS,Monaco,Ligue 1,2013-2014,25000000
Nemanja Matic,Defensive Midfield,25,Benfica,Liga NOS,Chelsea,Premier League,2013-2014,25000000
Álvaro Negredo,Centre-Forward,27,Sevilla FC,LaLiga,Man City,Premier League,2013-2014,25000000
Yohan Cabaye,Central Midfield,28,Newcastle,Premier League,Paris SG,Ligue 1,2013-2014,25000000
André Schürrle,Left Winger,22,Bay. Leverkusen,1.Bundesliga,Chelsea,Premier League,2013-2014,22000000
Jesús Navas,Right Winger,27,Sevilla FC,LaLiga,Man City,Premier League,2013-2014,20000000
Juan Cuadrado,Right Winger,25,Udinese Calcio,Serie A,Fiorentina,Serie A,2013-2014,20000000
Geoffrey Kondogbia,Central Midfield,20,Sevilla FC,LaLiga,Monaco,Ligue 1,2013-2014,20000000
Paulinho,Central Midfield,24,Corinthians,Série A,Spurs,Premier League,2013-2014,19730000
Mamadou Sakho,Centre-Back,23,Paris SG,Ligue 1,Liverpool,Premier League,2013-2014,19000000
Hernanes,Attacking Midfield,28,Lazio,Serie A,Inter,Serie A,2013-2014,18000000
Kevin Strootman,Central Midfield,23,PSV Eindhoven,Eredivisie,AS Roma,Serie A,2013-2014,17500000
Andy Carroll,Centre-Forward,24,Liverpool,Premier League,West Ham,Premier League,2013-2014,17500000
Mohamed Salah,Right Winger,21,FC Basel,Super League,Chelsea,Premier League,2013-2014,16500000
Wilfried Bony,Centre-Forward,24,Vitesse,Eredivisie,Swansea,Premier League,2013-2014,16000000
Mario Gómez,Centre-Forward,28,Bayern Munich ,1.Bundesliga,Fiorentina,Serie A,2013-2014,15500000
James McCarthy,Central Midfield,22,Wigan,Championship,Everton,Premier League,2013-2014,15300000
Konstantinos Mitroglou,Centre-Forward,25,Olympiacos,Super League,Fulham,Premier League,2013-2014,15200000
Daniel Osvaldo,Centre-Forward,27,AS Roma,Serie A,Southampton,Premier League,2013-2014,15100000
Angelo Ogbonna,Centre-Back,25,Torino,Serie A,Juventus,Serie A,2013-2014,15000000
Lucas Digne,Left-Back,20,LOSC Lille,Ligue 1,Paris SG,Ligue 1,2013-2014,15000000
Kurt Zouma,Centre-Back,19,Saint-Étienne,Ligue 1,Chelsea,Premier League,2013-2014,14600000
Victor Wanyama,Defensive Midfield,22,Celtic,Premiership,Southampton,Premier League,2013-2014,14500000
Christian Eriksen,Attacking Midfield,21,AFC Ajax,Eredivisie,Spurs,Premier League,2013-2014,13500000
Medhi Benatia,Centre-Back,26,Udinese Calcio,Serie A,AS Roma,Serie A,2013-2014,13500000
Mauro Icardi,Centre-Forward,20,Sampdoria,Serie A,Inter,Serie A,2013-2014,13000000
Gary Medel,Defensive Midfield,26,Sevilla FC,LaLiga,Cardiff,Premier League,2013-2014,13000000
Bojan Krkic,Second Striker,22,AS Roma,Serie A,FC Barcelona,LaLiga,2013-2014,13000000
Adem Ljajic,Attacking Midfield,21,Fiorentina,Serie A,AS Roma,Serie A,2013-2014,12000000
Raúl Albiol,Centre-Back,27,Real Madrid,LaLiga,SSC Napoli,Serie A,2013-2014,12000000
Florian Thauvin,Right Winger,20,LOSC Lille,Ligue 1,Marseille,Ligue 1,2013-2014,12000000
Manolo Gabbiadini,Centre-Forward,21,Juventus,Serie A,Sampdoria,Serie A,2013-2014,11500000
Étienne Capoue,Defensive Midfield,25,Toulouse,Ligue 1,Spurs,Premier League,2013-2014,11000000
Alessandro Matri,Centre-Forward,29,Juventus,Serie A,AC Milan,Serie A,2013-2014,11000000
Iago Aspas,Right Winger,25,Celta de Vigo,LaLiga,Liverpool,Premier League,2013-2014,10800000
Simon Mignolet,Goalkeeper,25,Sunderland,Premier League,Liverpool,Premier League,2013-2014,10600000
Lacina Traoré,Centre-Forward,23,Anzhi,Premier Liga,Monaco,Ligue 1,2013-2014,10000000
Ricky van Wolfswinkel,Centre-Forward,24,Sporting CP,Liga NOS,Norwich,Premier League,2013-2014,10000000
Carlos Bacca,Centre-Forward,26,Club Brugge,Jupiler Pro League,Sevilla FC,LaLiga,2013-2014,10000000
Dejan Lovren,Centre-Back,24,Olympique Lyon,Ligue 1,Southampton,Premier League,2013-2014,10000000
Josuha Guilavogui,Defensive Midfield,22,Saint-Étienne,Ligue 1,Atlético Madrid,LaLiga,2013-2014,10000000
Jozy Altidore,Centre-Forward,23,AZ Alkmaar,Eredivisie,Sunderland,Premier League,2013-2014,10000000
Simone Zaza,Centre-Forward,22,Juventus,Serie A,Sassuolo,Serie A,2013-2014,10000000
Andrea Poli,Central Midfield,23,Sampdoria,Serie A,AC Milan,Serie A,2013-2014,9700000
José Callejón,Right Winger,26,Real Madrid,LaLiga,SSC Napoli,Serie A,2013-2014,9500000
Jorginho,Defensive Midfield,22,Hellas Verona,Serie A,SSC Napoli,Serie A,2013-2014,9500000
Vlad Chiriches,Centre-Back,23,FCS Bucharest,Liga 1,Spurs,Premier League,2013-2014,9500000
Dries Mertens,Centre-Forward,26,PSV Eindhoven,Eredivisie,SSC Napoli,Serie A,2013-2014,9480000
Marco van Ginkel,Central Midfield,20,Vitesse,Eredivisie,Chelsea,Premier League,2013-2014,9400000
Steven Caulker,Centre-Back,21,Spurs,Premier League,Cardiff,Premier League,2013-2014,9150000
Carlos Tévez,Second Striker,29,Man City,Premier League,Juventus,Serie A,2013-2014,9000000
Josip Ilicic,Attacking Midfield,25,US Palermo,Serie B,Fiorentina,Serie A,2013-2014,9000000
Dimitri Payet,Attacking Midfield,26,LOSC Lille,Ligue 1,Marseille,Ligue 1,2013-2014,8700000
Andreas Cornelius,Centre-Forward,20,FC Copenhagen,Superligaen,Cardiff,Premier League,2013-2014,8700000
Shane Long,Centre-Forward,27,West Brom,Premier League,Hull City,Premier League,2013-2014,8500000
Lucas Biglia,Defensive Midfield,27,RSC Anderlecht,Jupiler Pro League,Lazio,Serie A,2013-2014,8400000
Antonio Candreva,Right Winger,26,Udinese Calcio,Serie A,Lazio,Serie A,2013-2014,8200000
Nacer Chadli,Left Winger,23,FC Twente,Eredivisie,Spurs,Premier League,2013-2014,8150000
Beñat Etxebarria,Central Midfield,26,Real Betis,LaLiga,Athletic Bilbao,LaLiga,2013-2014,8000000
Gervinho,Left Winger,26,Arsenal,Premier League,AS Roma,Serie A,2013-2014,8000000
Dorlan Pabón,Second Striker,25,Monterrey,Liga MX Clausura,Valencia CF,LaLiga,2013-2014,8000000
Luis Alberto,Attacking Midfield,20,Sevilla FC,LaLiga,Liverpool,Premier League,2013-2014,8000000
Nikica Jelavic,Centre-Forward,28,Everton,Premier League,Hull City,Premier League,2013-2014,7800000
Kévin Gameiro,Centre-Forward,26,Paris SG,Ligue 1,Sevilla FC,LaLiga,2013-2014,7500000
Emanuele Giaccherini,Left Winger,28,Juventus,Serie A,Sunderland,Premier League,2013-2014,7500000
Felipe Anderson,Right Winger,20,Santos FC,Série A,Lazio,Serie A,2013-2014,7500000
Saphir Taider,Central Midfield,21,Bologna,Serie A,Inter,Serie A,2013-2014,7500000
Giannelli Imbula,Defensive Midfield,20,Guingamp,Ligue 1,Marseille,Ligue 1,2013-2014,7500000
Tiago Ilori,Centre-Back,20,Sporting CP,Liga NOS,Liverpool,Premier League,2013-2014,7500000
Duván Zapata,Centre-Forward,22,Estudiantes,Torneo Final,SSC Napoli,Serie A,2013-2014,7470000
Toby Alderweireld,Centre-Back,24,AFC Ajax,Eredivisie,Atlético Madrid,LaLiga,2013-2014,7000000
Stéphane Sessègnon,Attacking Midfield,29,Sunderland,Premier League,West Brom,Premier League,2013-2014,7000000
Leo Baptistão,Centre-Forward,20,Rayo Vallecano,LaLiga,Atlético Madrid,LaLiga,2013-2014,7000000
Arouna Koné,Centre-Forward,29,Wigan,Championship,Everton,Premier League,2013-2014,7000000
Daniel Carvajal,Right-Back,21,Bay. Leverkusen,1.Bundesliga,Real Madrid,LaLiga,2013-2014,6500000
Libor Kozak,Centre-Forward,24,Lazio,Serie A,Aston Villa,Premier League,2013-2014,6500000
